name,location,cuisines,rate,approx_cost(for two people)
Onesta,Banashankari,"Pizza, Cafe, Italian",4.6/5,600
Hotboxit,Banashankari,"North Indian, Continental, Italian",3.8/5,400
Kitchen Garden,Kumaraswamy Layout,"North Indian, Chinese",3.6/5,300
Recipe,Kumaraswamy Layout,"North Indian, Chinese, Biryani, Rolls",4.0/5,450
Beijing Bites,Rajarajeshwari Nagar,"Chinese, Thai",3.7/5,850
Tasty Bytes,Kumaraswamy Layout,"North Indian, Chinese, Momos, Rolls",3.1/5,300
Petoo,Banashankari,North Indian,3.7/5,450
Shree Cool Point,Vijay Nagar,"Fast Food, Street Food, Beverages",4.1/5,150
Corner House Ice Cream,Banashankari,"Ice Cream, Desserts",4.3/5,400
Biryanis And More,Jayanagar,"Biryani, North Indian, Chinese, Andhra, South Indian",4.0/5,750
Roving Feast,Banashankari,"Italian, Continental, Fast Food, Chinese, Momos",4.0/5,450
FreshMenu,Banashankari,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",3.9/5,450
Banashankari Donne Biriyani,Banashankari,"Biryani, Fast Food",3.8/5,300
Wamama,Banashankari,"Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",4.2/5,800
Five Star Chicken,Banashankari,"Fast Food, Burger",3.6/5,200
XO Belgian Waffle,Banashankari,"Desserts, Beverages",3.7/5,400
Peppy Peppers,Banashankari,"Italian, North Indian, Mexican",4.2/5,800
Goa 0 Km,Kumaraswamy Layout,"Goan, Seafood, North Indian, Chinese, Biryani",3.6/5,800
Chinese Kitchen,Basavanagudi,Chinese,3.8/5,150
1947,Banashankari,"North Indian, Chinese",4.0/5,850
Cake of the Day,Banashankari,Bakery,3.7/5,150
Kabab Magic,Basavanagudi,"North Indian, Kebab, Chinese, Fast Food",4.1/5,400
Namma Brahmin's Idli,Jayanagar,South Indian,3.6/5,100
Gustoes Beer House,Banashankari,"Continental, Italian, Mexican, North Indian, Chinese, Steak",4.1/5,"1,200"
Sugar Rush,Banashankari,"Bakery, Desserts",3.8/5,300
Burger King,Basavanagudi,"Burger, Fast Food, Beverages",3.2/5,600
The Good Bowl,Banashankari,"Italian, North Indian, Biryani",3.6/5,500
The Biryani Cafe,Banashankari,"Biryani, Chinese, Kebab",4.1/5,300
Spicy Tandoor,Banashankari,North Indian,NEW,150
LSD Cafe,Banashankari,"Chinese, Continental, Italian, North Indian",2.9/5,700
Rolls On Wheels,Banashankari,"Fast Food, Rolls, Momos",3.6/5,300
Om Sri Vinayaka Chats,Banashankari,"Street Food, Fast Food",NEW,500
Sri Guru Kottureshwara Davangere Benne Dosa,Basavanagudi,South Indian,4.1/5,150
Devanna Dum Biriyani Centre,Banashankari,"Biryani, South Indian",3.6/5,300
Kolbeh,Banashankari,Fast Food,3.7/5,500
Upahar Sagar,Banashankari,"South Indian, Chinese, North Indian",3.8/5,350
Kadalu Sea Food Restaurant,Vijay Nagar,"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab",3.8/5,500
Frozen Bottle,Banashankari,"Beverages, Desserts, Ice Cream",4.2/5,400
Parimala Sweets,Banashankari,"Mithai, Street Food",3.5/5,200
Vaishali Deluxe,Banashankari,"North Indian, Chinese",3.8/5,700
Chill Out,Banashankari,"South Indian, Chinese",,100
The Big O Bakes,Banashankari,"Bakery, Desserts",4.0/5,300
Meghana Foods,Jayanagar,"Biryani, North Indian, Chinese",4.4/5,600
Krishna Sagar,Banashankari,North Indian,3.5/5,200
Dessert Rose,Banashankari,Desserts,3.5/5,500
Chickpet Donne Biryani House,Banashankari,Biryani,3.7/5,250
Me And My Cake,Banashankari,"Bakery, Desserts",,500
Sunsadm,Banashankari,South Indian,,400
Annapooraneshwari Mess,Banashankari,South Indian,,200
Thanco's Natural Ice Creams,Banashankari,Ice Cream,3.2/5,300
Nandhini Deluxe,Banashankari,North Indian,2.6/5,600
Vi Ra's Bar and Restaurant,Banashankari,"South Indian, North Indian, Chinese",3.3/5,800
Kaggis,Banashankari,"Fast Food, Bakery",3.8/5,250
Ayda Persian Kitchen,Banashankari,"North Indian, Iranian",3.7/5,950
Chatar Patar,Banashankari,"Fast Food, Street Food",3.7/5,300
Polar Bear,Basavanagudi,"Ice Cream, Desserts, Beverages, Sandwich",3.8/5,400
Kidambi's Kitchen,Banashankari,South Indian,3.5/5,300
Mane Thindi,Banashankari,South Indian,3.7/5,200
Kotian Karavali Restaurant,Banashankari,"South Indian, Biryani",3.5/5,300
Floured-Baked With Love,Banashankari,Bakery,3.8 /5,400
CAFE NOVA,Banashankari,"Cafe, Bakery",3.2/5,600
Cakes & Slices,Banashankari,"Bakery, Desserts",3.5/5,300
Spice 9,Banashankari,"Biryani, North Indian, Chinese, Fast Food",3.4/5,300
Coffee Shopee,Banashankari,Beverages,,250
Naveen Kabab & Biriyani Mane,Banashankari,Biryani,3.2/5,300
Katriguppe Donne Biryani,Banashankari,North Indian,3.2/5,300
Hari Super Sandwich,Banashankari,"Sandwich, Pizza, Beverages",NEW,200
Atithi Point Ande Ka Funda,Banashankari,North Indian,3.1/5,150
Just Bake,Banashankari,"Bakery, Desserts",3.4/5,400
Dharwad Line Bazaar Mishra Pedha,Banashankari,Mithai,,150
Cake Bite,Banashankari,Bakery,,300
Aarush's Food Plaza,Banashankari,"North Indian, Street Food",,200
Wood Stove,Banashankari,South Indian,,150
Kulfi & More,Banashankari,"Ice Cream, Desserts, Juices",,150
Kannadigas Karavali,Banashankari,"Mangalorean, South Indian, North Indian",,250
K27 - The Pub,Banashankari,"Chinese, North Indian",3.1/5,"1,000"
Bengaluru Coffee House,Banashankari,"South Indian, North Indian, Chinese, Street Food",4.1/5,300
New Mangalore Lunch Home,Banashankari,"Mangalorean, South Indian, North Indian",3.3/5,200
Coffee Bytes,Banashankari,"Fast Food, South Indian",3.1/5,100
Parjanya Chat Zone,Banashankari,"Street Food, Fast Food",3.3/5,200
Kwality Wall's Swirl's Happiness Station,Banashankari,"Ice Cream, Desserts",2.9/5,200
Soms Kitchen & Bakes,Banashankari,"South Indian, North Indian, Continental",,400
Banashankari Nati Style,Banashankari,"Biryani, Chinese, South Indian, North Indian",,350
Ruchi Maayaka,Banashankari,South Indian,3.3/5,100
Mohitesh Hut Roll,Banashankari,"Rolls, North Indian",,150
Sri Basaveshwar Jolada Rotti Oota,Banashankari,South Indian,,150
Roll Magic Fast Food,Banashankari,"Biryani, Rolls, Chinese",NEW,200
Foodlieious Multi Cuisine,Banashankari,North Indian,NEW,100
Thanishka Nati And Karavali Style,Banashankari,"Biryani, Fast Food",NEW,400
Swathi Cool Point,Banashankari,"Beverages, Juices",,200
Kaumudis Juoice,Banashankari,"Beverages, Fast Food, Juices",,150
Amma - Manae,Banashankari,South Indian,,400
Sri Sai Tiffannies,Banashankari,"South Indian, Chinese",,150
Hotel Andhra Speices,Banashankari,Andhra,,250
Sri Murari Family Restaurant,Banashankari,Biryani,,250
Aramane Donne Biriyani,Banashankari,"South Indian, Biryani",,150
Darkolates,Banashankari,Desserts,,200
Swaada Healthy Kitchen,Banashankari,"Healthy Food, Juices, Sandwich",,350
Gawdaru Mane Beriyani,Banashankari,"South Indian, Biryani",,300
Melting Melodies,Banashankari,"Pizza, Fast Food",NEW,100
New Indraprasta,Banashankari,"South Indian, Beverages",NEW,150
Anna Kuteera,Banashankari,"South Indian, North Indian, Chinese",4.0/5,450
Darbar,Banashankari,"North Indian, Chinese",3.0/5,800
Vijayalakshmi,Basavanagudi,South Indian,3.9/5,200
Sri Udupi Food Hub,Jayanagar,"South Indian, North Indian, Chinese, Beverages",4.1/5,500
Udupi Upahar,Banashankari,"South Indian, Chinese, North Indian, Juices",3.8/5,300
House Of Kebabs,Basavanagudi,"North Indian, Kebab, Biryani, Chinese",3.8/5,650
Roll N Rock,Kumaraswamy Layout,"Chinese, North Indian, Mughlai, Rolls",3.8/5,400
BOX8- Desi Meals,Banashankari,"North Indian, Mughlai, Fast Food",4.1/5,500
KFC,Banashankari,"Burger, Fast Food",3.8/5,450
Bitez,Banashankari,Fast Food,NEW,100
Roll Over,Jayanagar,"Desserts, Ice Cream, Beverages, Fast Food, Sandwich",4.1/5,500
Imperial Restaurant,Mysore Road,"North Indian, Chinese, Biryani, Beverages",3.7/5,750
Lassi Shop,Kumaraswamy Layout,"Beverages, Juices, Ice Cream",3.9/5,150
The Fortuna,Kumaraswamy Layout,"North Indian, Chinese",3.0/5,250
Wahab,Jayanagar,"North Indian, Mughlai, Chinese",3.7/5,350
Al Diwan Biryanis And More,Basavanagudi,Biryani,3.3/5,300
New Gowda's Fried Chicken,Banashankari,Biryani,3.3/5,300
Canton,Jayanagar,"Chinese, Seafood, Biryani",3.6/5,800
Diabetics Dezire Sugarless Sweets and Bakes,Basavanagudi,"Desserts, Mithai",3.3/5,300
The Blue Wagon - Kitchen,Jayanagar,"Cafe, Beverages",4.6/5,400
HOT COFFEE,Basavanagudi,"South Indian, Chinese",4.1/5,150
Patio 805,Jayanagar,"Thai, Vietnamese, Asian, Chinese",4.1/5,"1,200"
Lassi Corner,Basavanagudi,"Beverages, Ice Cream",3.7/5,150
Sagar Deluxe,Kumaraswamy Layout,"South Indian, North Indian, Chinese, Juices",3.2/5,300
Kanti Sweets,Banashankari,"Mithai, Street Food",4.0/5,400
Vegetalia,Banashankari,"Italian, Pizza",3.7/5,400
Aramane Donne Biryani,Banashankari,Biryani,3.5/5,200
Ande Ka Funda,Banashankari,"North Indian, Fast Food, Rolls",3.8/5,250
Cake Ghar,Basavanagudi,Bakery,3.8/5,400
Energy Addaa,Basavanagudi,"Salad, Healthy Food, Sandwich, Juices, Burger, Desserts, Pizza",4.2/5,500
Bhattara Bhojana,Banashankari,South Indian,3.6/5,150
Tandoori Knight,Banashankari,"North Indian, Chinese, Biryani, Kebab",3.0/5,450
Dev Sagar - Food Street,Basavanagudi,Street Food,4.1/5,200
Mitraa Da Pizza,Kumaraswamy Layout,"Fast Food, Pizza",3.8/5,250
Paradise Premium,Banashankari,"Biryani, Andhra, Hyderabadi, North Indian",3.1/5,700
Grazers,Jayanagar,"Cafe, Burger, Continental, Italian, Desserts",3.9/5,650
Shakes Theory,Jayanagar,"Beverages, Sandwich",4.5/5,300
@Italy,Kumaraswamy Layout,Italian,4.1/5,700
Chilli Flakes,Banashankari,"Fast Food, Italian, Beverages",3.6/5,500
Calcutta Cafe,Kumaraswamy Layout,"Bengali, Chinese, Sandwich",3.5/5,350
Old Mumbai Ice Cream,Banashankari,Ice Cream,3.9/5,150
Donne Biriyani House,Banashankari,"South Indian, North Indian, Chinese, Biryani",3.9/5,400
By 2 Coffee,Basavanagudi,South Indian,3.9/5,100
Kedia's Fun Food,Jayanagar,"North Indian, Street Food, Juices",4.3/5,200
Davangere Butter Dosa Hotel,Kumaraswamy Layout,South Indian,3.8/5,150
Just Shawarma,Kumaraswamy Layout,Arabian,3.9/5,300
Mini Punjabi Dhaba,Banashankari,North Indian,4.2/5,350
Mulabagilu Dosa,Basavanagudi,South Indian,3.6/5,100
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Banashankari,Cafe,4.1/5,500
Gokul Veg,Basavanagudi,"North Indian, Chinese, Beverages",3.8/5,750
Olive - Era,Kumaraswamy Layout,"BBQ, Arabian, Rolls, Chinese, North Indian, Juices, Kebab, Desserts",3.3/5,550
Udupi Ruchi,Banashankari,"South Indian, North Indian, Chinese, Street Food",3.9/5,200
Madhappa Hindu Military Hotel,Banashankari,South Indian,3.4/5,300
Gama Gama,Banashankari,South Indian,3.9/5,200
The Vintage Cafe,Banashankari,"Cafe, French, North Indian",3.0/5,400
Pizza Hut,Banashankari,"Pizza, Fast Food",3.8/5,750
Mangalore Pearl,Jayanagar,"Mangalorean, Seafood, Chinese, Biryani",3.8/5,650
Asha Sweets Centre,Basavanagudi,Fast Food,3.6/5,250
Twiststick House,Basavanagudi,"Continental, Fast Food, Street Food, Momos",4.1/5,500
Cool Corner,Basavanagudi,"Street Food, Fast Food",4.2/5,250
Pizza Mane,Banashankari,"Pizza, Sandwich, Burger, Fast Food",3.5/5,150
Dal Tadkaa,Banashankari,North Indian,2.5/5,500
Chutney Chang,Jayanagar,"North Indian, Chinese, BBQ",4.1/5,"1,500"
Mystique Palate,Jayanagar,"Chinese, Fast Food",4.1/5,300
Thamboola,Banashankari,"North Indian, Chinese, Continental",3.9/5,800
Castle Rock,Uttarahalli,"North Indian, Chinese",3.6/5,700
Vietnamese Kitchen,Banashankari,Vietnamese,3.6/5,700
Smacznego,Banashankari,"Cafe, Mexican, Italian, Momos, Beverages",4.2/5,550
C Corner,Kumaraswamy Layout,"Fast Food, Street Food",3.2/5,200
Paratha Merchant,Kumaraswamy Layout,North Indian,3.1/5,300
North Rasoe,Kumaraswamy Layout,"North Indian, Chinese, Biryani, Kebab",3.1/5,500
Inchara Restaurant,Basavanagudi,"North Indian, Chinese",,300
Toscano,Jayanagar,"Italian, Salad",4.3/5,"1,300"
Lord Of The Kitchen,Kumaraswamy Layout,"North Indian, Chinese",3.9/5,350
Stoned Monkey,Banashankari,"Desserts, Ice Cream",4.3/5,500
Central Jail Restaurant,Jayanagar,"Andhra, Seafood, North Indian, Chinese",3.8/5,700
Bella,Jayanagar,"Mangalorean, Seafood, South Indian",3.9/5,"1,000"
Vennela Andhra Meals,Jayanagar,Andhra,3.0/5,400
New Prashanth Hotel,Jayanagar,"South Indian, Biryani, Chinese, North Indian",3.6/5,750
The Grillo,Jayanagar,"South Indian, Arabian, Chinese, North Indian, Seafood, Mangalorean",2.8/5,500
Re Malnad Nati Style Hotel,JP Nagar,South Indian,3.6/5,400
Karma Kaapi,Jayanagar,"Beverages, Tea",4.4/5,250
Tiwari's,Jayanagar,"North Indian, Street Food",3.8/5,200
Pizza Stop,Basavanagudi,"Pizza, Italian",3.8/5,600
Biggies Burger 'n' More,Kumaraswamy Layout,"Cafe, Burger, Beverages",3.6/5,650
Srinathji's Cafe,Basavanagudi,"North Indian, Cafe, Chinese, Fast Food",3.8/5,550
Kollapuri's,Basavanagudi,"South Indian, Mangalorean",3.9/5,450
Sugar Stars Co,Basavanagudi,"Bakery, Desserts",,300
Bombay Kulfis,JP Nagar,Ice Cream,,200
Kadamba Classic,Mysore Road,South Indian,3.6/5,300
RS Shiv Sagar,Basavanagudi,"North Indian, Chinese, South Indian, Fast Food, Juices",3.7/5,450
Kholi Mane,Basavanagudi,"Andhra, South Indian, Biryani, North Indian",3.6/5,450
Harshi Super Sandwich,Basavanagudi,"Fast Food, Street Food",3.8/5,150
Cake Yard,Basavanagudi,Desserts,3.4/5,250
Rosewood International Hotel - Bar & Restaurant,Mysore Road,"North Indian, South Indian, Andhra, Chinese",3.6/5,800
Sri Udupi Veg,Jayanagar,South Indian,3.3/5,250
Cake Art,Basavanagudi,Bakery,3.5/5,400
Aahar Cafe,Basavanagudi,South Indian,,100
Akash Gowdru Biryani Center,Uttarahalli,"North Indian, Chinese",,300
New Sri Udupi Restaurant,Jayanagar,"North Indian, South Indian, Chinese, Beverages, Fast Food",,200
Potato House,Uttarahalli,Street Food,3.4/5,200
Hotel Biriyani Counter,Vijay Nagar,"North Indian, Chinese, Biryani",,350
Matru Sagar,Mysore Road,"South Indian, North Indian",3.7/5,300
Ugadi,Jayanagar,"North Indian, Chinese, Biryani, Andhra, Mangalorean",2.9/5,700
Sri Krishna Sweets,Basavanagudi,"Mithai, Desserts",3.7/5,250
In Time Cane Juice,Kumaraswamy Layout,"Juices, Beverages",3.5/5,100
Subway,Banashankari,"Salad, Fast Food",3.7/5,600
Daal Roti,Kumaraswamy Layout,"North Indian, Chinese",2.9/5,250
The Lassi Park,Jayanagar,"Juices, Desserts",4.1/5,200
Cafe Coffee Day,Jayanagar,"Cafe, Fast Food",3.2/5,900
A2B - Adyar Ananda Bhavan,Mysore Road,"South Indian, North Indian, Chinese, Street Food",3.8/5,400
Srikrishna Bhavan,Banashankari,"South Indian, North Indian, Chinese",3.8/5,300
Timepass Dinner,Basavanagudi,North Indian,3.8/5,600
Green Gardenia,Banashankari,"North Indian, Chinese",3.8/5,700
J Spice,Banashankari,"North Indian, Chinese",3.8/5,750
Karavali Family Restaurant,Jayanagar,"Seafood, Biryani, South Indian, North Indian, Chinese",3.5/5,500
Karavali Lunch Home,Kumaraswamy Layout,"South Indian, Mangalorean",3.7/5,350
Hatti Kaapi,Jayanagar,"South Indian, Beverages",4.0/5,200
Kolkata Kathi Roll's,Banashankari,"Fast Food, Rolls",3.6/5,250
Upahara Darshini,Basavanagudi,"North Indian, Chinese, South Indian, Fast Food",3.9/5,600
The Chaat Shop,Basavanagudi,Fast Food,2.5/5,200
Anda Ka Funda,Jayanagar,"North Indian, Chinese, Rolls",3.4/5,250
Shri Vinayaka Ice N Juice,Basavanagudi,"Beverages, Fast Food",3.2/5,150
My Tea House,Banashankari,"Italian, Fast Food, Cafe, European",3.6/5,600
Ibaco,Jayanagar,Desserts,3.9/5,300
Jalaram Sweets,Jayanagar,"Desserts, Mithai",3.8/5,250
Samskruti - Sanman Gardenia,Jayanagar,"North Indian, Chinese, South Indian",4.1/5,550
Bendakaluru Bytes,Vijay Nagar,Fast Food,3.2/5,300
Cocoa Bakes,Banashankari,"Bakery, Desserts",3.6/5,350
Chumma Delicious,Banashankari,"South Indian, Fast Food",3.7/5,200
New Prashanth Hotel,Banashankari,"Biryani, North Indian, Seafood, Andhra",3.9/5,650
SSV Upahar,Jayanagar,"South Indian, Chinese",NEW,300
Dwaraka Grand,Kumaraswamy Layout,"South Indian, Chinese, Street Food, Juices",3.9/5,500
Gufha - The President Hotel,Jayanagar,"North Indian, Afghani, Mughlai",4.1/5,"1,200"
Cafe Vivacity,Banashankari,Cafe,3.8/5,650
Tanna's Kitchen,Kumaraswamy Layout,"Italian, Chinese, Street Food",3.1/5,250
Shree Mandarathi Grand,Uttarahalli,"South Indian, North Indian",3.7/5,400
Mojo Pizza - 2X Toppings,Banashankari,Pizza,4.2/5,600
Iceberg Icecreams,Basavanagudi,"Desserts, Ice Cream",4.0/5,250
South Kitchen,Basavanagudi,South Indian,4.3/5,100
Chung Wah,Jayanagar,"Chinese, Thai, Momos",3.7/5,850
Shanthi Sagar,Uttarahalli,"South Indian, North Indian, Chinese",3.1/5,400
Millet Mama,Basavanagudi,"South Indian, Healthy Food",3.9/5,200
Bangarpet Chat Express,Basavanagudi,"Street Food, Fast Food",3.3/5,100
South Cool Point,Basavanagudi,Beverages,,100
Prems Graama Bhojanam,Jayanagar,South Indian,4.3/5,400
Java City,Jayanagar,"Cafe, American, Pizza",2.6/5,450
Kamat Bugle Rock,Basavanagudi,"South Indian, Fast Food",3.9/5,300
Woodee Pizza,Banashankari,"Cafe, Pizza, Fast Food, Beverages",3.7/5,500
Puliyogare Point,Basavanagudi,South Indian,4.2/5,100
Bangalore Agarwal Bhavan,Jayanagar,"Street Food, North Indian, South Indian",3.9/5,400
Rustic Stove,Jayanagar,"North Indian, South Indian, Biryani, Beverages",3.8/5,900
Udupi Ruchi Grand,Banashankari,"South Indian, North Indian, Chinese, Street Food",4.2/5,200
De Thaali,Jayanagar,"North Indian, Chinese, Rolls",3.9/5,550
Spice Elephant,Banashankari,"Chinese, North Indian, Thai",4.1/5,800
Just Thindi,Basavanagudi,South Indian,3.6/5,200
Matru Sagar,Banashankari,"South Indian, North Indian, Chinese",3.6/5,250
Vasanth Vihar - Since 1965,Banashankari,"South Indian, Street Food",3.6/5,150
Sea Spice by 7 Star,Banashankari,"Seafood, Biryani, Beverages, South Indian, North Indian, Kebab",4.0/5,"1,200"
Desi Dawat,Kumaraswamy Layout,"North Indian, Fast Food",3.7/5,400
Cafe Aira,Basavanagudi,"Cafe, Continental, Beverages, Desserts",4.1/5,500
Donne Biriyani combos,Kumaraswamy Layout,Biryani,,400
Penthouse Cafe,Banashankari,"Cafe, Italian, Continental",4.0/5,700
Mast Punjabi,Kumaraswamy Layout,"North Indian, Chinese, Rolls, Biryani, Kebab",2.6/5,400
South Grand,Uttarahalli,"South Indian, North Indian, Chinese, Beverages",3.4/5,400
Catch-up-ino,Banashankari,"Cafe, Fast Food, Continental, Chinese, Momos",3.9/5,800
The Pizzeria,Banashankari,"Pizza, Italian, Salad",2.8/5,800
Cafe Zone,Kumaraswamy Layout,"Fast Food, Chinese, Rolls",3.9/5,300
Ruchis Point,Banashankari,"Fast Food, Chinese",3.8/5,200
Firangi Bake,Rajarajeshwari Nagar,"Mexican, Italian",4.0/5,600
The Royal Corner - Pai Viceroy,Jayanagar,"North Indian, Chinese",4.2/5,900
Hara Fine Dine,Banashankari,"North Indian, Chinese",4.0/5,800
Chocoberry,Jayanagar,"Ice Cream, Desserts, Beverages",3.5/5,400
Dakshin Grand,Banashankari,"South Indian, North Indian, Chinese, Street Food",3.0/5,300
Sandwichwallas,Jayanagar,Fast Food,3.7/5,200
Chai Mane,Basavanagudi,"Juices, Fast Food",3.6/5,150
SLV Upachar,Kumaraswamy Layout,"South Indian, Chinese, Street Food",3.1/5,250
Waffle-A-Go Go,Banashankari,"Fast Food, Desserts, Ice Cream",3.9/5,400
Cross Road Cafe,Jayanagar,"Cafe, Fast Food, Chinese",3.9/5,300
Anand Donne Biriyani,Jayanagar,Biryani,3.6/5,200
Seven Star,Banashankari,"North Indian, Chinese",3.4/5,250
Stop 'N' Joy,Banashankari,Fast Food,3.8/5,150
Sri Yaksha Shiv Sagar,Banashankari,"North Indian, Chinese",3.6/5,600
Fudge,Basavanagudi,"Desserts, Momos",3.8/5,200
Just Bunny,Jayanagar,Fast Food,3.5/5,200
Bakers Town,Kumaraswamy Layout,"Cafe, Continental, Fast Food",3.8/5,650
Shree Mahalakshmi Sweets,Banashankari,"Mithai, Street Food",3.2/5,100
Kaapi Kendra,Jayanagar,South Indian,3.7/5,100
Ivy,Kumaraswamy Layout,"North Indian, Chinese, Fast Food",3.8/5,600
The Airos,Jayanagar,"Cafe, Italian, Pizza",4.1/5,650
Chai Kraft,Jayanagar,"Beverages, Tea",4.1/5,100
Kirthi's Biryani,Banashankari,"Chinese, Cafe, Italian",3.8/5,700
South Point Pub,Basavanagudi,"North Indian, Seafood, Chinese",3.4/5,800
The Trundle,Jayanagar,"Chinese, Thai, Continental, North Indian",3.7/5,700
The Krishna Grand Xpress,Jayanagar,"South Indian, Fast Food",4.0/5,350
Sri Krishna Darshini,Basavanagudi,"South Indian, North Indian, Chinese",3.1/5,200
Shringar Sweets & Snacks,Basavanagudi,"Mithai, South Indian, Street Food, Fast Food",3.5/5,200
Udupi Grand,Basavanagudi,"South Indian, North Indian, Chinese",3.8/5,300
Ganesh Grand,Basavanagudi,"South Indian, North Indian, Desserts",3.7/5,300
Shreyas Upahar & Burger Point,Basavanagudi,"South Indian, Burger",3.0/5,200
Coffee Tindi,Banashankari,"Cafe, South Indian",3.8/5,200
Little Cafe,Basavanagudi,"Cafe, Beverages",3.7/5,600
Mumbai Badam Milk & Lassi Center,Basavanagudi,"Beverages, Desserts",3.6/5,100
Sri Krishna Sagar,Banashankari,"North Indian, Chinese",3.2/5,400
Mylari Biryani Family Restaurant,Banashankari,"Biryani, Fast Food",3.7/5,400
1980s Games Cafe,Basavanagudi,"Cafe, Fast Food",3.4/5,400
Kadala Tarangaa,Banashankari,"Mangalorean, Seafood, North Indian",3.6/5,600
Namma Biryani,Banashankari,"Biryani, Chinese, North Indian",3.6/5,250
Nandhanu's Rasoi,Kumaraswamy Layout,"Chinese, North Indian",3.0/5,400
Hotel Pork Paradise,Mysore Road,South Indian,3.7/5,300
As On Fire,South Bangalore,"Pizza, Fast Food, BBQ",3.5/5,400
J K Fish Land,Jayanagar,"Seafood, Mangalorean",3.6/5,300
Curry Leaves,Basavanagudi,"Andhra, North Indian, Chinese",4.1/5,800
Lassi Shop,Banashankari,"Beverages, Ice Cream, Fast Food",3.5/5,300
Magic Meals,Jayanagar,"Fast Food, Desserts, Beverages",3.7/5,400
Desi Cream Junction,Jayanagar,"Chinese, North Indian, Pizza, Italian",3.7/5,650
Drunken Monkey,Kumaraswamy Layout,"Beverages, Fast Food",3.8/5,400
Ruchi's Corner,Banashankari,Fast Food,2.7/5,200
Tandoori Bytes,Kumaraswamy Layout,North Indian,3.6/5,700
Bangalore Donne Biriyani,Kumaraswamy Layout,"South Indian, Biryani",3.2/5,300
SGS Non Veg - Gundu Pulav,Banashankari,"Biryani, Fast Food",3.8/5,400
